organisation,records lost,year,month,story,sector,method,data sensitivity,1st source link
Target,70000000,2013,March,Investigators believe that personal data was obtained via software installed on card-swiping machines at Target stores.,retail,hacked,3,http://www.huffingtonpost.com/2013/12/19/target-hacked-customer-credit-card-data-accessed_n_4471672.html?utm_hp_ref=mostpopular
TD Ameritrade,6300000,2007,December,The firm settled a class action lawsuit to compensate as many as 6.3 million customers whose data was stolen by hackers.,finance,hacked,1,http://www.wired.com/threatlevel/2008/07/ameritrade-hack/
Telegram,15000000,2016,August,"An Iranian hacking group called Rocket Kitten stole millions of phone numbers from Telegram, an instant messaging service which prides itself on strong security.",app,hacked,1,http://venturebeat.com/2016/08/02/hackers-break-into-telegram-revealing-15-million-users-phone-numbers/
TerraCom & YourTel,170000,2013,August,"Journalists discovered the personal data of over 170,000 customers on a publicly accessible server. Hilariously, the firms branded the journalists ""hackers"".",telecoms,Mistake,2,http://boingboing.net/2013/05/23/terracom-and-yourtel-threaten.html
Tesco Clubcard,600000,2020,October,"Details of accrued loyalty points were accessed, but financial details weren't exposed.",retail,hacked,1,https://www.techradar.com/uk/news/tesco-clubcard-holders-warned-of-major-security-issue
Texas Lottery,89000,2008,April,"Data on more than 89,000 lottery winners (including names, Social Security numbers, addresses and prize amounts) were taken from the agency without permission by a former employee.",government,inside job,2,https://www.chron.com/news/houston-texas/article/89-000-lottery-winners-affected-by-security-breach-1603025.php
Texas voter records,14800000,2018,November,"A single file containing 14.8 million voter records was found on an unsecured server. It was thought to have been originally compiled by Data Trust, a Republican-focused data analytics firm.",web,poor security,2,https://techcrunch.com/2018/08/23/millions-of-texas-voter-records-exposed-online/
Thailand visitors,100000000,2021,September ,Any foreigner who has travelled to Thailand in the last decade might have had their information exposed,government,poor security,2,https://www.scmp.com/news/asia/southeast-asia/article/3149475/details-some-100-million-visitors-thailand-exposed-online
The Hospital Group,1000000,2020,November,Hackers compromised the plastic surgery firm and threatened to release over 900 gigabytes of private surgery photographs.,health,hacked,4,https://www.bbc.co.uk/news/technology-55439190
Three,130000,2016,May,Fraudsters compromised the mobile network's handset upgrade system and ordered new handsets to sell online. Customer details were accessed as part of the breach.,telecoms,hacked,2,http://www.threemediacentre.co.uk/news/2017/handsetfraud-update.aspx
Three Iranian banks,3000000,2012,April,"After finding a security flaw in Iran's banking system, Khosrow Zarefarid sent a formal report to the CEOs of all affected banks. When they ignored him, he hacked 3m bank accounts to prove his point.",finance,hacked,5,http://www.zdnet.com/blog/security/3-million-bank-accounts-hacked-in-iran/11577
Tianya,40000000,2013,October,China's biggest online forum confirmed that private information for 40 million users had been breached back in 2011.,web,hacked,1,"http://www.scmagazine.com.au/News/349585,28-million-clear-text-passwords-found-after-tianya65279-hack.aspx"
TicketFly,27000000,2018,March,"Names, addresses, email addresses and phone numbers were stolen from the ticketing firm. Ransom demands were made. The FBI indicted a suspect in February 2020.",web,hacked,2,https://www.theverge.com/2018/6/7/17438516/ticketfly-hack-personal-information-26-million-customers-leaked
Ticketmaster,40000,2018,December,The data was stolen via an attack on a third-party customer support firm. It was likely to have affected UK customers who bought tickets between Feb and Jun 2018.,web,hacked,3,https://www.bbc.co.uk/news/technology-44628874
TIO Networks,1600000,2017,May,"A Paypal subsidiary providing bill payment services suffered a ""security incident"". Personal information and financial details were likely to have been breached.",finance,hacked,4,https://www.bleepingcomputer.com/news/security/paypal-says-1-6-million-customer-details-stolen-in-breach-at-canadian-subsidiary/
TK / TJ Maxx,94000000,2007,February ,A Minnesota store wifi network was hacked. Data from the credit and debit cards of shoppers was stolen.,retail,hacked,3,http://www.zdnet.com/wi-fi-hack-caused-tk-maxx-security-breach-3039286991/
T-mobile,200000,2020,November,"The information exposed in this breach includes phone numbers, call records, and the number of lines on an account.",telecoms,hacked,1,https://www.bleepingcomputer.com/news/security/t-mobile-data-breach-exposed-phone-numbers-call-records/
T-Mobile,2000000,2018,February ,"Personal data along with passwords encrypted by a notoriously weak algorithm (MD5) were stolen. The firm initially failed to disclose the password breach, ""because they were encrypted"".",telecoms,hacked,1,https://motherboard.vice.com/en_us/article/a3qpk5/t-mobile-hack-data-breach-api-customer-data
T-Mobile,76000000,2021,February ,"Exposed the names, date of birth, Social Security number and drivers license/ID information of more than 40 million current, former or prospective customers who applied for credit with the company. T-mobile paid a $500m settlement.",telecoms,hacked,3,https://krebsonsecurity.com/2021/08/t-mobile-breach-exposed-ssn-dob-of-40m-people/
"T-Mobile, Deutsche Telecom",17000000,2008,July,"Thieves stole a device containing names, addresses, cell phone numbers, and some birth dates and e-mail addresses for high-profile German citizens.",telecoms,lost device,1,https://www.dw.com/en/telekom-says-data-from-17-million-customers-was-stolen/a-3690132
Toyota,3100000,2019,July,A security breach of Toyota subsidiaries' IT systems may have leaked personal customer information.,transport,hacked,2,https://www.bleepingcomputer.com/news/security/toyota-security-breach-exposes-personal-info-of-31-million-clients/
Travelio,471376,2021,May,"The Indonesian real estate website Travelio suffered a data breach of over 470k customer accounts. The data included email addresses, names, password hashes, phone numbers and for some accounts, dates of birth, physical address and Facebook auth tokens.",misc,hacked,2,https://www.riskbasedsecurity.com/2021/12/14/dark-web-roundup-november-2021/
Tricare,4901432,2011,August,"Backup tapes containing information for some 4.6 million active and retired military personnel, as well as their families, was stolen from a data contractor's car in San Antonio.",military,lost device,4,http://www.reuters.com/article/us-data-breach-texas-idUSTRE78S5JG20110929
"Triple-S Salud, Inc.",398000,2010,October,"A competitor accessed restricted areas of the healthcare firm's website without authorisation, compromising client information.",health,lost device,4,https://www.databreaches.net/puerto-rico-dept-of-health-reports-breach-affecting-400000-triple-s-salud-fined-100k/
Tumblr,65000000,2016,November,A three year old data breach came to light. Millions of email addresses and hashed passwords had been stolen.,web,hacked,1,https://www.vice.com/en_us/article/8q88k5/hackers-stole-68-million-passwords-from-tumblr-new-analysis-reveals
Turkish citizenship database,49611709,2016,May,"An entire database of voter records, originally stolen back in 2008, was leaked online.",government,hacked,2,http://www.businessinsider.com/turkish-citizenship-database-allegedly-hacked-and-leaked-2016-4?r=UK&IR=T
Twitch,10000000,2021,August,"Full source code breach of the streaming gaming site revealed a trove of internal data & documents including core config packages, devtools, and payments to top streamers.",gaming,hacked,4,https://www.bbc.co.uk/news/technology-58817658
Twitch,10000000,2015,April,All users were forced to reset their passwords after unauthorised access to a number of accounts.,health,hacked,1,http://blog.twitch.tv/2015/03/important-notice-about-your-twitch-account/
Twitter,5400000,2021,June,"Zero day vulnerability allowed a threat actor to create profiles of 5.4 million Twitter users inc. a verified phone number or email address, and scraped public information, such as follower counts, screen name, login name, etc",web,hacked,2,https://www.bleepingcomputer.com/news/security/twitter-confirms-zero-day-used-to-expose-data-of-54-million-accounts/
Twitter,330000000,2018,August,A glitch caused some passwords to be stored in readable text that was visible on Twitter's internal computer system.,tech,poor security,1,https://www.reuters.com/article/us-twitter-passwords/twitter-urges-all-users-to-change-passwords-after-glitch-idUSKBN1I42JG
Twitter,250000,2013,March,"A Java vulnerability gave hackers access to some user information including usernames, email addresses, session tokens and encrypted/salted versions of passwords.",web,hacked,1,https://edition.cnn.com/2013/02/01/tech/social-media/twitter-hacked/index.html
Uber,57000000,2017,August ,"Uber concealed an October 2016 leak of personal information for more than a year. They paid hackers $100,000 to delete the stolen data. The chief security officer resigned.",app,hacked,1,https://www.bloomberg.com/news/articles/2017-11-21/uber-concealed-cyberattack-that-exposed-57-million-people-s-data
Uber,50000,2015,November,"The breach, which occurred in Sep 2014, revealed the names & license plates of 50,000 drivers across the USA.",tech,poor security,1,https://techcrunch.com/2015/02/27/uber-database-breach-exposed-information-of-50000-drivers-company-confirms/
Ubiquiti,16000000,2021,June,Unknown amount of user data breached,tech,hacked,2,https://www.zdnet.com/article/ubiquiti-tells-customers-to-change-passwords-after-security-breach/
UbiSoft,58000000,2013,July,"The video games publisher revealed that user names, email addresses and encrypted passwords had been ""illegally accessed"".",gaming,hacked,2,https://www.bbc.co.uk/news/technology-23159997
Ubuntu,2000000,2013,November,"The discussion forum for the operating system was hacked, exposing personal details and weakly-hashed passwords.","tech, web",hacked,3,http://arstechnica.com/security/2013/07/hack-exposes-e-mail-addresses-password-data-for-2-million-ubuntu-forum-users/
UCLA Health,4500000,2015,August,"Patient information was exposed in a hack on the network. In 2019, the firm reached a $2 million class-action lawsuit settlement.",health,hacked,4,https://healthitsecurity.com/news/ucla-health-reaches-7.5m-settlement-over-2015-breach-of-4.5m
UK Home Office,84000,2008,May,"PA Consulting lost an unencrypted memory stick containing details of high risk, prolific and other offenders. It had its contract terminated after an enquiry.",government,lost device,2,http://news.bbc.co.uk/1/hi/uk_politics/7608155.stm
UK Ministry of Defence,1700000,2008,November,"A hard drive containing sensitive details of Armed Forces personnel - passport & national insurance numbers, bank details etc - went missing. The loss was revealed during National Identity Fraud Prevention Week.",government,lost device,5,http://news.bbc.co.uk/1/hi/uk_politics/7667507.stm
UK Revenue & Customs,25000000,2007,October,A set of discs containing confidential details of 25 million child benefit recipients was lost.,government,lost device,1,http://news.bbc.co.uk/2/hi/uk_news/7103911.stm
University of California Berkeley,160000,2009,December,The attackers accessed a computer belonging to the university's health centre. The personal information of current students and alumni was stolen.,academic,hacked,3,https://www.cnet.com/news/uc-berkeley-computers-hacked-160000-at-risk/
University of Delaware,74000,2013,June,Confidential personal information on past and current employees of the University of Delaware was stolen when a software vulnerability was exploited.,academic,hacked,2,http://www1.udel.edu/udaily/2014/jul/resources073013.html
University of Miami,2100000,2008,July,Six backup tapes from the medical school containing more than 2 million medical records were stolen from a van that was transporting the data to an off-site facility.,academic,lost device,3,https://www.computerworld.com/article/2536837/thieves-pilfer-backup-tapes-holding-2m-medical-records.html
University of Utah Hospitals & Clinics,2200000,2008,June,Petty thieves stole backup data tapes containing billing records from an employee's car. According to police reports the thieves tried - and failed - to view the tapes using a VHS player.,academic,lost device,4,http://archive.sltrib.com/story.php?ref=/ci_9540210
University of Wisconsin - Milwaukee,73000,2011,February ,"A malware attack on a database server exposed the names and social security numbers of students and staff, past and present.",academic,hacked,2,https://www.zdnet.com/article/university-of-wisconsin-hacked-75000-social-security-numbers-student-names-exposed/
Unknown,1800000,2019,September ,"A Dutch researcher found women's personal information in an open Chinese database. It included phone numbers, addressed and their ""BreedReady"" status, whatever that might be.",web,poor security,4,https://www.theguardian.com/world/2019/mar/11/china-database-lists-breedready-status-of-18-million-women
UPS,4000000,2014,May,Malware was discovered in the credit & debit card processing systems of 51 UPS branches in 24 states. It was leaking data for as long as eight months.,retail,hacked,3,http://time.com/3151681/ups-hack/
Urban Massage,309000,2018,March,"An online database with no password protection contained thousands of customer records, including names, email addresses, phone numbers and sexual misconduct complaints.",app,poor security,2,https://techcrunch.com/2018/11/27/urban-massage-data-exposed-customers-creepy-clients/?guccounter=1
US Customs and Border Protection,100000,2019,May,Photos of faces and license plates taken at an US border crossing were stolen in a cyberattack on a surveillance contractor.,government,hacked,2,https://www.washingtonpost.com/technology/2019/06/10/us-customs-border-protection-says-photos-travelers-into-out-country-were-recently-taken-data-breach/?utm_term=.69c66aaf152f
US Dept of Vet Affairs,26500000,2006,November,The Veterans Affairs Department agreed to pay $20 million to settle a class action lawsuit over the loss of a laptop.,government,lost device,2,http://gcn.com/Articles/2009/02/02/VA-data-breach-suit-settlement.aspx
US Federal Reserve Bank of Cleveland,400000,2010,June,"Nov 2010. A Malaysian man was charged with hacking into major US corporations and stealing 400,000 credit and debit card account numbers.",finance,hacked,3,https://www.bankinfosecurity.com/cleveland-federal-reserve-hacked-a-3115
US Law Enforcement,123461,2011,September ,"""AntiSec"" hackers published a huge trove of personal information from 70 different US law enforcement agencies.",government,hacked,3,"http://www.pcmag.com/article2/0,2817,2390683,00.asp"
US Marshals Service,387000,2020,December,Prisoners had sensitive personal data stolen in December 2019. They were notified five months later.,government,hacked,2,https://www.nextgov.com/cybersecurity/2020/05/us-marshals-service-breach-exposed-personal-data-387000-prisoners/165305/
US Military,260000,2010,June,"The Wikileaks Embassy Cables, containing over 1/4 of a million dispatches from more than 250 worldwide embassies and consulates.",military,inside job,5,http://www.guardian.co.uk/news/datablog/2010/nov/29/wikileaks-cables-data
US Military,76000000,2009,July,"The National Archives And Records Administration sent a defective, unencrypted hard drive for repair and recycling. It held detailed records on 76 million veterans dating back to 1972.",military,lost device,2,http://www.wired.com/threatlevel/2009/10/probe-targets-archives-handling-of-data-on-70-million-vets/
US National Guard,131000,2009,May,"A personal laptop owned by an Army Guard contractor was stolen. It contained a database including names, Social Security Numbers, incentive payment amounts and payment dates.",military,lost device,2,http://edition.cnn.com/2009/US/12/17/theft.security.breach/index.html
US Office of Personnel Management,4000000,2015,February ,"Hackers gained access to federal employees Social Security numbers, job assignments, performance ratings and training information.",government,hacked,2,http://www.washingtonpost.com/world/national-security/chinese-hackers-breach-federal-governments-personnel-office/2015/06/04/889c0e52-0af7-11e5-95fd-d580f1c5d44e_story.html?tid=hpModule_04941f10-8a79-11e2-98d9-3012c1cd8d1e
US Office of Personnel Management (2nd Breach),21500000,2015,January,"Hackers with suspected links to China accessed sensitive data on US intelligence and military personnel, leading to concerns about potential blackmail attempts.",government,hacked,5,http://www.bbc.co.uk/news/world-us-canada-33120405
uTorrent,35000,2016,December,"Access to user data was gained via a third party. Uncertain as to what exactly had been stolen, the firm advised its users to change their passwords.",web,hacked,1,https://torrentfreak.com/utorrent-forums-hacked-passwords-compromised-160608/
V̴rdguiden,2700000,2019,October,"170,000 hours of sensitive calls to Sweden's healthcare hotline were stored on an open web server with no encryption or authentication. The breach was blamed on subcontractor Medicall.",health,poor security,5,https://computersweden.idg.se/2.2683/1.714787/inspelade-samtal-1177-vardguiden-oskyddade-internet
Viacom,3000000,2017,July,"A misconfigured server exposed 1Gb of Viacom's credentials enough, say researchers, to take down the firm's internal IT infrastructure.",web,hacked,4,https://thehackernews.com/2017/09/viacom-amazon-server.html
ViewFines,934000,2018,February ,"Data originating with a South African traffic fine payment firm was leaked online. It included names, national ID numbers, cell numbers, email addresses and plain text passwords.",transport,Mistake,4,https://www.iafrikan.com/2018/05/23/just-under-1-million-personal-records-of-south-africans-leaked-online/
Virgin Media,900000,2020,April,"A poorly-configured database left names, email addresses and phone numbers exposed for 10 months.",retail,poor security,1,https://www.bbc.co.uk/news/business-51760510
Virginia Prescription Monitoring Program,531400,2009,April,A prescriptions website with a database containing 8m patient records and 35m prescription records was hacked. The hacker demanded a $10 million ransom for the breach.,health,hacked,2,https://www.digitalhealth.net/2009/05/virginia-department-of-health-hacked/
Vision Direct,16300,2018,June,"A 5-day data breach saw attackers steal personal information, passwords and CVV security codes.",retail,hacked,4,https://www.bbc.co.uk/news/technology-46261209
VK,171000000,2016,June,"A database stolen in 2013 from the Russian social network, containing full names, email addresses and passwords, was offered for sale online.",web,hacked,4,http://motherboard.vice.com/read/another-day-another-hack-100-million-accounts-for-vk-russias-facebook
Vodafone,2000000,2013,March,"An IT contractor for the firm used his access to the telecom giant's system to steal customer details, including bank account numbers and sort codes.",telecoms,inside job,3,http://www.securityweek.com/attacker-steals-data-2-million-vodafone-germany-customers
VTech,6400000,2015,September ,"The toy maker was targeted by a hacker who stole the private data of millions of children, including names, email addresses and birth dates.",web,hacked,5,http://www.theguardian.com/technology/2015/dec/02/vtech-hack-us-hong-kong-investigate-children-exposed
VW,3300000,2021,December,"Phone numbers, email addresses and some sensitive credit data. Nearly all those impacted were current or potential customers of Audi, one of the German automaker's luxury brands",transport,hacked,2,https://www.reuters.com/business/autos-transportation/vw-says-data-breach-vendor-impacted-33-million-people-north-america-2021-06-11/
Washington Post,1270000,2011,May,"Unknown hackers broke into The Washington Post's jobs website, stealing user IDs and email addresses.",misc,hacked,2,"http://www.pcmag.com/article2/0,2817,2388200,00.asp"
Washington State court system,160000,2013,July,Social Security numbers and a million driver's license numbers may have been accessed by hackers exploiting weaknesses in old server software.,government,hacked,2,https://www.reuters.com/article/us-usa-hack-washingtonstate-idUSBRE9480YY20130509
Washington State Dpt of Licensing,257000,2022,August,The Washington State Department of Licensing said the personal information of potentially millions of licensed professionals may have been exposed after it detected suspicious activity on its online licensing system.,government,hacked,3,https://www.seattletimes.com/business/breach-at-state-licensing-agency-may-have-exposed-data-from-1000s-of-professionals/
Waterly,1000000,2017,February ,"An app which allows Israelis to pay water bills contained a vulnerability in the sign-in process. It could reveal payment history, personal ID information and credit card details.",app,poor security,3,https://www.databreaches.net/waterly-app-potentially-exposed-up-to-1-million-israelis-details-researcher/
Wawa,30000000,2019,January,"Card-stealing malware was installed, and remained undiscovered for nine months.",retail,hacked,3,https://krebsonsecurity.com/2020/01/wawa-breach-may-have-compromised-more-than-30-million-payment-cards/
Weebly,43000000,2016,September ,"IP addresses, usernames and hashed passwords were stolen from the web design platform.",web,hacked,4,https://techcrunch.com/2016/10/20/weebly-hacked-43-million-credentials-stolen/
Wendy's,1025,2016,May,Malware installed in 1025 point of sale systems was used to steal credit card data from customers. It's not known how many individuals were impacted.,retail,hacked,3,https://www.forbes.com/sites/moneybuilder/2016/07/08/this-week-in-credit-card-news-wendys-data-breach-affects-1000-stores-card-fraud-dropping/#260a2f727bab
Whitepages,18000000,2019,April,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
WiFi Finder,2000000,2019,December,"An Android app for finding local WiFi passwords inadvertently provided access to the entire database, including domestic WiFi points.",app,poor security,1,https://techcrunch.com/2019/04/22/hotspot-password-leak/
Wonga,270000,2017,September ,"The firm reported unauthorised access to names, addresses, phone numbers and bank account details relating to British and Polish customers.",finance,hacked,4,https://www.theguardian.com/business/2017/apr/09/wonga-data-breach-could-affect-250000-uk-customers?CMP=Share_iOSApp_Other
World Check,2200000,2016,September ,A database of suspected terrorists and criminals used by global banks and intelligence agencies was leaked online. Access is normally granted via a strict vetting process.,misc,poor security,3,https://thestack.com/security/2016/06/29/2-million-person-terror-database-leaked-online/
Writerspace.com,62000,2011,October,"Hacker group LulzSec released a stash of e-mails and passwords, 12,000 of which were confirmed to originate from Writerspace.com.",web,hacked,1,"http://www.pcmag.com/article2/0,2817,2387186,00.asp"
Yahoo,32000000,2017,May,"For two years, hackers used forged cookies to log into millions of Yahoo accounts without a password.",web,hacked,4,https://www.cnet.com/news/yahoo-says-forged-cookie-attack-accessed-about-32m-accounts/
Yahoo,500000000,2016,June,"At the time, the largest ever data breach from a single website. It was stolen, according to Yahoo, by a ""state-sponsored actor"". It included names, dates of birth and security information.",web,hacked,2,https://www.cnbc.com/2016/09/22/yahoo-data-breach-is-among-the-biggest-in-history.html
Yahoo,550000000,2013,August,"A 2013 attack was eventually disclosed in 2016. Stolen data included names, telephone numbers, birth dates, passwords and security questions.",web,hacked,2,http://www.nytimes.com/2016/12/14/technology/yahoo-hack.html?action=Click&contentCollection=BreakingNews&contentID=64651831&pgtype=Homepage&_r=0
Yahoo Japan,22000000,2013,February ,22 million Yahoo user IDs may have been leaked after Yahoo detected an unauthorized attempt to access the administrative system of its Yahoo Japan portal.,"tech, web",hacked,1,https://www.reuters.com/article/us-yahoojapan/yahoo-japan-suspects-22-million-user-ids-leaked-kyodo-idUSBRE94G0P620130517
Yahoo Voices,450000,2012,March,"Usernames and passwords thought to be related to Yahoo's Voice service were dumped online, after being accessed in a database hack.","tech, web",hacked,1,https://www.helpnetsecurity.com/2012/07/12/nearly-half-a-million-yahoo-passwords-leaked-following-hack/
Yale University,43000,2011,January,"The names and Social Security numbers of 43,000 people affiliated with the university were publicly viewable on Google for 10 months.",academic,Mistake,2,http://www.nbcnews.com/id/44235153/ns/technology_and_science-security/t/data-breach-hits-yale-university/
YouNow,40000000,2019,June,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,web,hacked,1,https://techcrunch.com/2019/02/14/hacker-strikes-again/
Zappos,24000000,2012,August,"The Amazon-owned e-commerce firm was the target of a cyber attack on its internal network, exposing names, e-mail addresses, phone numbers,addresses, and encrypted passwords.",web,hacked,2,http://www.forbes.com/sites/andygreenberg/2012/01/15/zappos-says-hackers-accessed-24-million-customers-account-details/
Zhenhua,2400000,2020,May,Personal details of millions of notable people around the world found in a leaked database compiled by a Chinese tech company with reported links to the countrys military and intelligence networks. Mostly compiled from social media profiles.,misc,Mistake,1,https://www.theguardian.com/world/2020/sep/14/zhenhua-data-full-list-leak-database-personal-details-millions-china-tech-company
Zomato,17000000,2017,January,Stolen email addresses and hashed passwords were being sold on the dark web for just over $1000.,web,hacked,4,https://www.hackread.com/zomato-hacked-17-million-accounts-sold-on-dark-web/
Zoom,500000,2020,September ,"Email addresses, passwords and personal meeting URLs were sold on the dark web. It led to a host of zoom-bombing pranks.",app,hacked,1,https://www.welivesecurity.com/2020/04/16/half-million-zoom-accounts-sale-dark-web/
